pc,type,mispredicts,total,misPermil,dirMiss,tgtMiss,noPredMiss
f22be,0,67,169,396,66,0,1
f3a4a,0,61,204,299,60,0,1
f4abc,0,56,218,256,55,0,1
c8da8,0,1051,5319,197,1050,0,1
f3780,0,19,109,174,18,0,1
f4b0e,0,36,218,165,35,0,1
3f6ea,0,28,174,160,27,0,1
f3a26,0,211,1327,159,181,0,30
f3802,0,223,1454,153,220,0,3
f4b1e,0,150,999,150,147,0,3
f3a3e,0,39,262,148,29,0,10
f3a50,0,14,100,140,13,0,1
f3d08,0,19,144,131,10,0,9
f495c,0,40,311,128,39,0,1
4d05e,0,14,111,126,13,0,1
f4914,0,25,209,119,23,0,2
1b0a0,0,26,239,108,25,0,1
43758,0,14,148,94,13,0,1
f3a38,0,28,298,93,23,0,5
4cf22,0,15,171,87,9,0,6
28ace,0,10,115,86,9,0,1
f3a44,0,18,216,83,17,0,1
4375c,0,10,134,74,9,0,1
43754,0,11,156,70,10,0,1
f3800,0,104,1529,68,103,0,1
436e4,0,10,156,64,8,0,2
436f0,0,10,156,64,6,0,4
28ad6,0,7,115,60,6,0,1
1b0b6,0,10,177,56,9,0,1
4376c,0,7,128,54,6,0,1
c8f30,0,369,6810,54,368,0,1
f21c2,0,9,174,51,8,0,1
f493a,0,36,879,40,35,0,1
f173e,0,13,320,40,10,0,3
f3a32,0,30,844,35,28,0,2
f21d6,0,6,174,34,5,0,1
3bfaa,0,6,332,18,5,0,1
3f6f4,0,3,174,17,2,0,1
f39fa,0,54,3271,16,46,0,8
f39e8,0,19,1401,13,17,0,2
f3a2c,0,11,853,12,8,0,3
1b0c8,0,3,239,12,0,0,3
f497a,0,4,371,10,1,0,3
3f702,0,1,170,5,0,0,1
c8ce8,0,5,1061,4,4,0,1
f39f4,0,11,2723,4,10,0,1
c8d00,0,2,1060,1,1,0,1
c8d14,0,2,1060,1,1,0,1
c8d04,0,1,530,1,0,0,1
c9c24,0,4,3183,1,3,0,1
c8df6,0,1,1060,0,0,0,1
c8dcc,0,1,1061,0,0,0,1
c8c94,0,1,1061,0,0,0,1
c8e82,0,1,1061,0,0,0,1
c8ebe,0,1,1061,0,0,0,1
c9c34,0,6,6810,0,5,0,1
c90b6,0,4,5321,0,3,0,1
c8d9a,0,4,5321,0,3,0,1
c8e34,0,3,5319,0,2,0,1
c916a,0,3,5321,0,1,0,2
c8e4a,0,2,5321,0,1,0,1
c91c0,0,1,5319,0,0,0,1
c90be,0,1,5319,0,0,0,1
c8efe,0,1,6811,0,0,0,1
c9c32,5,1,6811,0,0,0,1
c8a50,3,1,24789,0,0,0,1
3f6de,2,0,174,0,0,0,0
3f6f0,2,0,174,0,0,0,0
4374c,0,0,156,0,0,0,0
c8eee,0,0,6811,0,0,0,0
3bfac,0,0,326,0,0,0,0
3bfae,1,0,326,0,0,0,0
c8e0c,2,0,5318,0,0,0,0
c8e10,0,0,5318,0,0,0,0
c8e16,0,0,5319,0,0,0,0
c8e1a,0,0,5319,0,0,0,0
c8e22,0,0,5319,0,0,0,0
c8e2c,0,0,5319,0,0,0,0
c8dae,2,0,1061,0,0,0,0
c8dc8,0,0,1061,0,0,0,0
c8cc4,0,0,1061,0,0,0,0
4cf28,2,0,171,0,0,0,0
4cf2c,0,0,171,0,0,0,0
c8c88,0,0,1061,0,0,0,0
c8caa,4,0,1061,0,0,0,0
c8cb2,0,0,1061,0,0,0,0
c8cbe,0,0,1061,0,0,0,0
c8cce,0,0,1061,0,0,0,0
c8cdc,0,0,1061,0,0,0,0
c8d1c,1,0,1061,0,0,0,0
c8d2c,2,0,530,0,0,0,0
c8d32,1,0,530,0,0,0,0
c8db4,0,0,1061,0,0,0,0
c8dbc,0,0,1061,0,0,0,0
c8aa4,0,0,24788,0,0,0,0
c8c78,2,0,1061,0,0,0,0
c8a30,0,0,24789,0,0,0,0
c8a3c,0,0,24789,0,0,0,0
c8a9c,0,0,24788,0,0,0,0
c8ab4,0,0,24788,0,0,0,0
c8aba,4,0,24788,0,0,0,0
c8b30,1,0,24788,0,0,0,0
4cf34,4,0,171,0,0,0,0
f39ec,1,0,1072,0,0,0,0
f3a00,4,0,548,0,0,0,0
f3a6c,4,0,546,0,0,0,0
f3a8c,4,0,104,0,0,0,0
f2272,1,0,161,0,0,0,0
f4b30,4,0,218,0,0,0,0
f380a,4,0,570,0,0,0,0
c9c40,1,0,3630,0,0,0,0
c8f46,4,0,6810,0,0,0,0
c919c,2,0,5319,0,0,0,0
c918a,0,0,5319,0,0,0,0
c914e,0,0,5319,0,0,0,0
c8f5e,1,0,6811,0,0,0,0
c8f5a,0,0,6811,0,0,0,0
c8f26,2,0,6810,0,0,0,0
c8f18,2,0,6811,0,0,0,0
c91b2,0,0,5319,0,0,0,0
c8efa,0,0,6811,0,0,0,0
c91a6,0,0,5319,0,0,0,0
c9c12,1,0,3631,0,0,0,0
c9c0c,0,0,3631,0,0,0,0
c91b8,0,0,5319,0,0,0,0
c91ae,0,0,5319,0,0,0,0
28be6,4,0,225,0,0,0,0
28ac4,0,0,115,0,0,0,0
28ad2,2,0,115,0,0,0,0
28bd4,0,0,225,0,0,0,0
28bda,0,0,225,0,0,0,0
f1732,0,0,234,0,0,0,0
f21b4,0,0,174,0,0,0,0
f21b6,0,0,174,0,0,0,0
f21cc,0,0,174,0,0,0,0
