pc,type,mispredicts,total,misPermil,dirMiss,tgtMiss,noPredMiss
f22be,0,74,169,437,73,0,1
f3a4a,0,66,204,323,65,0,1
f4abc,0,53,218,243,52,0,1
c8da8,0,1039,5319,195,1038,0,1
f4b0e,0,36,218,165,35,0,1
f3a3e,0,41,262,156,31,0,10
f3a50,0,15,100,150,14,0,1
3f6ea,0,26,174,149,25,0,1
f3802,0,217,1454,149,215,0,2
f3a26,0,198,1327,149,168,0,30
f4b1e,0,148,999,148,145,0,3
f3d08,0,21,144,145,11,0,10
f3780,0,15,109,137,14,0,1
1b0a0,0,32,239,133,31,0,1
f4914,0,25,209,119,23,0,2
f495c,0,36,311,115,35,0,1
4d05e,0,11,111,99,10,0,1
f3a38,0,29,298,97,24,0,5
43758,0,14,148,94,13,0,1
28ace,0,10,115,86,9,0,1
4cf22,0,14,171,81,9,0,5
f3a44,0,17,216,78,16,0,1
436e4,0,12,156,76,8,0,4
4375c,0,10,134,74,9,0,1
43754,0,11,156,70,10,0,1
f3800,0,105,1529,68,104,0,1
436f0,0,10,156,64,6,0,4
28ad6,0,7,115,60,6,0,1
4376c,0,7,128,54,6,0,1
f21c2,0,9,174,51,8,0,1
1b0b6,0,9,177,50,8,0,1
f493a,0,41,879,46,40,0,1
f173e,0,13,320,40,10,0,3
f3a32,0,30,844,35,28,0,2
f21d6,0,6,174,34,5,0,1
3bfaa,0,6,332,18,5,0,1
3f6f4,0,3,174,17,2,0,1
f39fa,0,47,3271,14,41,0,6
f3a2c,0,12,853,14,9,0,3
f39e8,0,18,1401,12,16,0,2
1b0c8,0,3,239,12,0,0,3
f497a,0,4,371,10,1,0,3
3f702,0,1,170,5,0,0,1
f39f4,0,15,2723,5,13,0,2
c8ce8,0,4,1061,3,3,0,1
c8d00,0,2,1060,1,1,0,1
c8d04,0,1,530,1,0,0,1
c8d14,0,2,1060,1,1,0,1
c8df6,0,1,1060,0,0,0,1
c8dcc,0,1,1061,0,0,0,1
c8e82,0,1,1061,0,0,0,1
c8ebe,0,1,1061,0,0,0,1
c8c94,0,1,1061,0,0,0,1
c90b6,0,3,3414,0,2,0,1
c8d9a,0,4,5321,0,3,0,1
c916a,0,2,3413,0,0,0,2
c8e34,0,3,5319,0,2,0,1
c8e4a,0,2,5321,0,1,0,1
c90be,0,1,3413,0,0,0,1
c91c0,0,1,3413,0,0,0,1
c8a50,3,1,9262,0,0,0,1
3f6de,2,0,174,0,0,0,0
3f6f0,2,0,174,0,0,0,0
4374c,0,0,156,0,0,0,0
c8e0c,2,0,5318,0,0,0,0
3bfac,0,0,326,0,0,0,0
3bfae,1,0,326,0,0,0,0
c8d1c,1,0,1061,0,0,0,0
c8d2c,2,0,530,0,0,0,0
c8d32,1,0,530,0,0,0,0
c8dae,2,0,1061,0,0,0,0
c8db4,0,0,1061,0,0,0,0
c8dbc,0,0,1061,0,0,0,0
c8dc8,0,0,1061,0,0,0,0
c8cbe,0,0,1061,0,0,0,0
c8cdc,0,0,1061,0,0,0,0
c8ab4,0,0,9262,0,0,0,0
c8a30,0,0,9262,0,0,0,0
c8a3c,0,0,9262,0,0,0,0
c8a9c,0,0,9262,0,0,0,0
c8aa4,0,0,9262,0,0,0,0
c8aba,4,0,9262,0,0,0,0
c8b30,1,0,9262,0,0,0,0
c8c78,2,0,1061,0,0,0,0
c8c88,0,0,1061,0,0,0,0
c8caa,4,0,1061,0,0,0,0
c8cb2,0,0,1061,0,0,0,0
c8cc4,0,0,1061,0,0,0,0
c8cce,0,0,1061,0,0,0,0
4cf28,2,0,171,0,0,0,0
4cf2c,0,0,171,0,0,0,0
4cf34,4,0,171,0,0,0,0
f21cc,0,0,174,0,0,0,0
f21b4,0,0,174,0,0,0,0
f2272,1,0,161,0,0,0,0
f21b6,0,0,174,0,0,0,0
f1732,0,0,234,0,0,0,0
f4b30,4,0,218,0,0,0,0
c8e2c,0,0,5319,0,0,0,0
c8e22,0,0,5319,0,0,0,0
c8e1a,0,0,5319,0,0,0,0
c8e16,0,0,5319,0,0,0,0
c8e10,0,0,5318,0,0,0,0
c91b8,0,0,3413,0,0,0,0
c91b2,0,0,3413,0,0,0,0
c91ae,0,0,3413,0,0,0,0
c91a6,0,0,3413,0,0,0,0
c919c,2,0,3413,0,0,0,0
c918a,0,0,3413,0,0,0,0
c914e,0,0,3413,0,0,0,0
28bda,0,0,225,0,0,0,0
f3a8c,4,0,104,0,0,0,0
28ac4,0,0,115,0,0,0,0
28ad2,2,0,115,0,0,0,0
28bd4,0,0,225,0,0,0,0
28be6,4,0,225,0,0,0,0
f380a,4,0,570,0,0,0,0
f3a6c,4,0,546,0,0,0,0
f39ec,1,0,1072,0,0,0,0
f3a00,4,0,548,0,0,0,0
